コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.333
ホーリーウーマンの2022
牡　4/4生　栗毛
父：サートゥルナーリア
母：ホーリーウーマン
母父：Tawqeet
販売者：(株)アスラン",333,ホーリーウーマンの2022,牡,4/4,栗,サートゥルナーリア,ホーリーウーマン,Tawqeet,(株)アスラン,アスラン,(株)アスラン
"No.334
ファイネストシティの2022
牡　2/10生　鹿毛
父：キズナ
母：ファイネストシティ
母父：City Zip
販売者：(有)ノーザンレーシング",334,ファイネストシティの2022,牡,2/10,鹿,キズナ,ファイネストシティ,City Zip,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.335
ブルーミングアレーの2022
牡　3/16生　栗毛
父：ブリックスアンドモルタル
母：ブルーミングアレー
母父：シンボリクリスエス
販売者：社台ファーム",335,ブルーミングアレーの2022,牡,3/16,栗,ブリックスアンドモルタル,ブルーミングアレー,シンボリクリスエス,社台ファーム,シャダイファーム,社台ファーム
"No.336
ワンカードトゥーメニーの2022
牡　3/7生　鹿毛
父：American Pharoah
母：ワンカードトゥーメニー
母父：Drosselmeyer
販売者：(有)岡田牧場",336,ワンカードトゥーメニーの2022,牡,3/7,鹿,American Pharoah,ワンカードトゥーメニー,Drosselmeyer,(有)岡田牧場,オカダボクジョウ,(有)岡田牧場
"No.337
スクールミストレスの2022
めす　1/20生　鹿毛
父：サトノダイヤモンド
母：スクールミストレス
母父：Equal Stripes
販売者：(有)ノーザンレーシング",337,スクールミストレスの2022,めす,1/20,鹿,サトノダイヤモンド,スクールミストレス,Equal Stripes,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.338
リトルモンスターの2022
牡　2/8生　栗毛
父：ドゥラメンテ
母：リトルモンスター
母父：Into Mischief
販売者：社台ファーム",338,リトルモンスターの2022,牡,2/8,栗,ドゥラメンテ,リトルモンスター,Into Mischief,社台ファーム,シャダイファーム,社台ファーム
"No.339
ラルケットの2022
牡　2/10生　黒鹿毛
父：サートゥルナーリア
母：ラルケット
母父：ファルブラヴ
販売者：ノーザンファーム",339,ラルケットの2022,牡,2/10,黒鹿,サートゥルナーリア,ラルケット,ファルブラヴ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.340
ワッツダチャンセズの2022
牡　2/16生　黒鹿毛
父：エピファネイア
母：ワッツダチャンセズ
母父：Diamond Green
販売者：追分ファーム",340,ワッツダチャンセズの2022,牡,2/16,黒鹿,エピファネイア,ワッツダチャンセズ,Diamond Green,追分ファーム,オイワケファーム,追分ファーム
"No.341
フラーテイシャスミスの2022
めす　1/28生　栗毛
父：ルヴァンスレーヴ
母：フラーテイシャスミス
母父：Mr.Greeley
販売者：(有)ノーザンレーシング",341,フラーテイシャスミスの2022,めす,1/28,栗,ルヴァンスレーヴ,フラーテイシャスミス,Mr.Greeley,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.342
タニノアーバンシーの2022
牡　2/25生　鹿毛
父：ロードカナロア
母：タニノアーバンシー
母父：Sea The Stars
販売者：(有)千代田牧場",342,タニノアーバンシーの2022,牡,2/25,鹿,ロードカナロア,タニノアーバンシー,Sea The Stars,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.343
ブロンドヒロインの2022
めす　3/5生　鹿毛
父：ドレフォン
母：ブロンドヒロイン
母父：グラスワンダー
販売者：社台ファーム",343,ブロンドヒロインの2022,めす,3/5,鹿,ドレフォン,ブロンドヒロイン,グラスワンダー,社台ファーム,シャダイファーム,社台ファーム
"No.344
ハーレクイーンの2022
牡　2/11生　鹿毛
父：リアルスティール
母：ハーレクイーン
母父：Canford Cliffs
販売者：ノーザンファーム",344,ハーレクイーンの2022,牡,2/11,鹿,リアルスティール,ハーレクイーン,Canford Cliffs,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.345
カーリンホークの2022
めす　2/26生　鹿毛
父：モーリス
母：カーリンホーク
母父：Curlin
販売者：(有)下河辺牧場",345,カーリンホークの2022,めす,2/26,鹿,モーリス,カーリンホーク,Curlin,(有)下河辺牧場,シモコウベボクジョウ,(有)下河辺牧場
"No.346
ガーデニアの2022
牡　3/3生　鹿毛
父：サートゥルナーリア
母：ガーデニア
母父：Galileo
販売者：(有)グランド牧場",346,ガーデニアの2022,牡,3/3,鹿,サートゥルナーリア,ガーデニア,Galileo,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.347
イルーシヴハピネスの2022
めす　2/25生　鹿毛
父：シルバーステート
母：イルーシヴハピネス
母父：Frankel
販売者：ノーザンファーム",347,イルーシヴハピネスの2022,めす,2/25,鹿,シルバーステート,イルーシヴハピネス,Frankel,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.348
アットザシーサイドの2022
牡　2/25生　栗毛
父：エピファネイア
母：アットザシーサイド
母父：キングカメハメハ
販売者：社台ファーム",348,アットザシーサイドの2022,牡,2/25,栗,エピファネイア,アットザシーサイド,キングカメハメハ,社台ファーム,シャダイファーム,社台ファーム
"No.349
ストームザヒルの2022
めす　2/20生　鹿毛
父：Nyquist
母：ストームザヒル
母父：Get Stormy
販売者：(有)パカパカファーム",349,ストームザヒルの2022,めす,2/20,鹿,Nyquist,ストームザヒル,Get Stormy,(有)パカパカファーム,パカパカファーム,(有)パカパカファーム
"No.350
ヴィアフィレンツェの2022
牡　2/8生　鹿毛
父：レイデオロ
母：ヴィアフィレンツェ
母父：Dansili
販売者：(有)ノーザンレーシング",350,ヴィアフィレンツェの2022,牡,2/8,鹿,レイデオロ,ヴィアフィレンツェ,Dansili,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.351
ダイワパッションの2022
めす　1/29生　黒鹿毛
父：サートゥルナーリア
母：ダイワパッション
母父：フォーティナイナー
販売者：田上 徹",351,ダイワパッションの2022,めす,1/29,黒鹿,サートゥルナーリア,ダイワパッション,フォーティナイナー,田上 徹,タガミトオル,田上　徹
"No.352
トゥアーニーの2022
牡　1/28生　鹿毛
父：ドゥラメンテ
母：トゥアーニー
母父：Country Reel
販売者：(株)タイヘイ牧場",352,トゥアーニーの2022,牡,1/28,鹿,ドゥラメンテ,トゥアーニー,Country Reel,(株)タイヘイ牧場,タイヘイボクジョウ,(株)タイヘイ牧場
"No.353
シーズアタイガーの2022
めす　1/16生　栗毛
父：エピファネイア
母：シーズアタイガー
母父：Tale of the Cat
販売者：(有)ノーザンレーシング",353,シーズアタイガーの2022,めす,1/16,栗,エピファネイア,シーズアタイガー,Tale of the Cat,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.354
マリアロワイヤルの2022
牡　2/16生　鹿毛
父：ロードカナロア
母：マリアロワイヤル
母父：Montjeu
販売者：社台ファーム",354,マリアロワイヤルの2022,牡,2/16,鹿,ロードカナロア,マリアロワイヤル,Montjeu,社台ファーム,シャダイファーム,社台ファーム
"No.355
パンデイアの2022
牡　2/4生　栗毛
父：ルヴァンスレーヴ
母：パンデイア
母父：ディープインパクト
販売者：ノーザンファーム",355,パンデイアの2022,牡,2/4,栗,ルヴァンスレーヴ,パンデイア,ディープインパクト,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.356
フリートバーティーの2022
牡　3/25生　鹿毛
父：Justify
母：フリートバーティー
母父：Afleet Alex
販売者：(株)松浦牧場",356,フリートバーティーの2022,牡,3/25,鹿,Justify,フリートバーティー,Afleet Alex,(株)松浦牧場,マツウラボクジョウ,(株)松浦牧場
"No.357
アトミカオロの2022
めす　2/14生　鹿毛
父：ドゥラメンテ
母：アトミカオロ
母父：Orpen
販売者：ノーザンファーム",357,アトミカオロの2022,めす,2/14,鹿,ドゥラメンテ,アトミカオロ,Orpen,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.358
アスカビレンの2022
牡　3/24生　鹿毛
父：ロードカナロア
母：アスカビレン
母父：ブラックタイド
販売者：(有)桑田牧場",358,アスカビレンの2022,牡,3/24,鹿,ロードカナロア,アスカビレン,ブラックタイド,(有)桑田牧場,クワタボクジョウ,(有)桑田牧場
"No.359
サザンスターズの2022
牡　2/14生　鹿毛
父：ミッキーアイル
母：サザンスターズ
母父：Smart Strike
販売者：社台ファーム",359,サザンスターズの2022,牡,2/14,鹿,ミッキーアイル,サザンスターズ,Smart Strike,社台ファーム,シャダイファーム,社台ファーム
"No.360
キラモサの2022
牡　2/11生　鹿毛
父：キズナ
母：キラモサ
母父：Alamosa
販売者：(有)ノーザンレーシング",360,キラモサの2022,牡,2/11,鹿,キズナ,キラモサ,Alamosa,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.361
コミカルの2022
めす　1/29生　鹿毛
父：American Pharoah
母：コミカル
母父：Into Mischief
販売者：下屋敷牧場",361,コミカルの2022,めす,1/29,鹿,American Pharoah,コミカル,Into Mischief,下屋敷牧場,シモヤシキボクジョウ,下屋敷牧場
"No.362
ヒップホップスワンの2022
牡　2/22生　鹿毛
父：ニューイヤーズデイ
母：ヒップホップスワン
母父：Tiz Wonderful
販売者：ノーザンファーム",362,ヒップホップスワンの2022,牡,2/22,鹿,ニューイヤーズデイ,ヒップホップスワン,Tiz Wonderful,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.363
コンテッサトゥーレの2022
牡　2/18生　鹿毛
父：サートゥルナーリア
母：コンテッサトゥーレ
母父：ディープインパクト
販売者：社台ファーム",363,コンテッサトゥーレの2022,牡,2/18,鹿,サートゥルナーリア,コンテッサトゥーレ,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.364
ゴールデンフレアーの2022
牡　2/13生　鹿毛
父：McKinzie
母：ゴールデンフレアー
母父：Medaglia d'Oro
販売者：(有)岡田牧場",364,ゴールデンフレアーの2022,牡,2/13,鹿,McKinzie,ゴールデンフレアー,Medaglia d'Oro,(有)岡田牧場,オカダボクジョウ,(有)岡田牧場
"No.365
レディデラウェアの2022
めす　1/28生　鹿毛
父：ドレフォン
母：レディデラウェア
母父：American Pharoah
販売者：吉田 俊介",365,レディデラウェアの2022,めす,1/28,鹿,ドレフォン,レディデラウェア,American Pharoah,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
"No.366
アプリコットフィズの2022
牡　2/17生　鹿毛
父：ブリックスアンドモルタル
母：アプリコットフィズ
母父：ジャングルポケット
販売者：社台ファーム",366,アプリコットフィズの2022,牡,2/17,鹿,ブリックスアンドモルタル,アプリコットフィズ,ジャングルポケット,社台ファーム,シャダイファーム,社台ファーム
"No.367
モシーンの2022
牡　3/6生　鹿毛
父：エピファネイア
母：モシーン
母父：Fastnet Rock
販売者：(有)ノーザンレーシング",367,モシーンの2022,牡,3/6,鹿,エピファネイア,モシーン,Fastnet Rock,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.368
ディアマイダーリンの2022
牡　3/13生　鹿毛
父：サートゥルナーリア
母：ディアマイダーリン
母父：ハーツクライ
販売者：追分ファーム",368,ディアマイダーリンの2022,牡,3/13,鹿,サートゥルナーリア,ディアマイダーリン,ハーツクライ,追分ファーム,オイワケファーム,追分ファーム
"No.369
エスポワールの2022
牡　1/18生　栗毛
父：ドゥラメンテ
母：エスポワール
母父：オルフェーヴル
販売者：(有)グレース",369,エスポワールの2022,牡,1/18,栗,ドゥラメンテ,エスポワール,オルフェーヴル,(有)グレース,グレース,ノーザンファーム
"No.370
プリュスの2022
牡　2/27生　鹿毛
父：キタサンブラック
母：プリュス
母父：ヴィクトワールピサ
販売者：社台ファーム",370,プリュスの2022,牡,2/27,鹿,キタサンブラック,プリュス,ヴィクトワールピサ,社台ファーム,シャダイファーム,社台ファーム
"No.371
パーシーズベストの2022
めす　2/19生　鹿毛
父：ルーラーシップ
母：パーシーズベスト
母父：ディープインパクト
販売者：ノーザンファーム",371,パーシーズベストの2022,めす,2/19,鹿,ルーラーシップ,パーシーズベスト,ディープインパクト,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.372
アナンジュパスの2022
牡　3/9生　鹿毛
父：エピファネイア
母：アナンジュパス
母父：ディープインパクト
販売者：岡田スタッド",372,アナンジュパスの2022,牡,3/9,鹿,エピファネイア,アナンジュパス,ディープインパクト,岡田スタッド,オカダスタッド,岡田スタッド
"No.373
カレドニアロードの2022
めす　2/14生　黒鹿毛
父：キズナ
母：カレドニアロード
母父：Quality Road
販売者：(有)グランド牧場",373,カレドニアロードの2022,めす,2/14,黒鹿,キズナ,カレドニアロード,Quality Road,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.374
グローバルビューティの2022
牡　2/1生　鹿毛
父：リアルスティール
母：グローバルビューティ
母父：Global Hunter
販売者：(有)ノーザンレーシング",374,グローバルビューティの2022,牡,2/1,鹿,リアルスティール,グローバルビューティ,Global Hunter,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.375
クードロアの2022
牡　3/21生　鹿毛
父：オルフェーヴル
母：クードロア
母父：ハードスパン
販売者：社台ファーム",375,クードロアの2022,牡,3/21,鹿,オルフェーヴル,クードロア,ハードスパン,社台ファーム,シャダイファーム,社台ファーム
"No.376
アンフィトリテⅡの2022
めす　3/1生　鹿毛
父：サトノダイヤモンド
母：アンフィトリテⅡ
母父：Sebring
販売者：(有)ノーザンレーシング",376,アンフィトリテⅡの2022,めす,3/1,鹿,サトノダイヤモンド,アンフィトリテⅡ,Sebring,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.377
エストレチャダの2022
めす　3/11生　黒鹿毛
父：サートゥルナーリア
母：エストレチャダ
母父：Offlee Wild
販売者：(株)オリオンファーム",377,エストレチャダの2022,めす,3/11,黒鹿,サートゥルナーリア,エストレチャダ,Offlee Wild,(株)オリオンファーム,オリオンファーム,(株)オリオンファーム
"No.378
欠場
　生　毛
父：
母：
母父：
販売者：",378,欠場,,,,,,,,,
"No.379
サウンタの2022
牡　4/14生　黒鹿毛
父：ドゥラメンテ
母：サウンタ
母父：Invincible Spirit
販売者：坂本 智広",379,サウンタの2022,牡,4/14,黒鹿,ドゥラメンテ,サウンタ,Invincible Spirit,坂本 智広,サカモトトモヒロ,坂本　智広
"No.380
ヤマノフェアリーの2022
牡　2/25生　鹿毛
父：エピファネイア
母：ヤマノフェアリー
母父：ディープインパクト
販売者：(株)チャンピオンズファーム",380,ヤマノフェアリーの2022,牡,2/25,鹿,エピファネイア,ヤマノフェアリー,ディープインパクト,(株)チャンピオンズファーム,チャンピオンズファーム,(株)チャンピオンズファーム
"No.381
シェルズレイの2022
牡　2/4生　芦毛
父：シュヴァルグラン
母：シェルズレイ
母父：クロフネ
販売者：(有)ノーザンレーシング",381,シェルズレイの2022,牡,2/4,芦,シュヴァルグラン,シェルズレイ,クロフネ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.382
コレクターアイテムの2022
牡　2/26生　鹿毛
父：ロードカナロア
母：コレクターアイテム
母父：ハーツクライ
販売者：社台ファーム",382,コレクターアイテムの2022,牡,2/26,鹿,ロードカナロア,コレクターアイテム,ハーツクライ,社台ファーム,シャダイファーム,社台ファーム
"No.383
プレシャスライフの2022
牡　3/12生　鹿毛
父：サトノダイヤモンド
母：プレシャスライフ
母父：タイキシャトル
販売者：(有)千代田牧場",383,プレシャスライフの2022,牡,3/12,鹿,サトノダイヤモンド,プレシャスライフ,タイキシャトル,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.384
オーサムウインドの2022
牡　1/18生　栗毛
父：サートゥルナーリア
母：オーサムウインド
母父：ディープインパクト
販売者：(有)ノーザンレーシング",384,オーサムウインドの2022,牡,1/18,栗,サートゥルナーリア,オーサムウインド,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.385
ゲットイクスプリシットの2022
牡　2/5生　鹿毛
父：American Pharoah
母：ゲットイクスプリシット
母父：Get Stormy
販売者：(有)パカパカファーム",385,ゲットイクスプリシットの2022,牡,2/5,鹿,American Pharoah,ゲットイクスプリシット,Get Stormy,(有)パカパカファーム,パカパカファーム,(有)パカパカファーム
"No.386
ミスエーニョの2022
めす　2/18生　鹿毛
父：キズナ
母：ミスエーニョ
母父：Pulpit
販売者：ノーザンファーム",386,ミスエーニョの2022,めす,2/18,鹿,キズナ,ミスエーニョ,Pulpit,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.387
クォリティシーズンの2022
牡　2/25生　黒鹿毛
父：ブリックスアンドモルタル
母：クォリティシーズン
母父：トワイニング
販売者：社台ファーム（共有代表）",387,クォリティシーズンの2022,牡,2/25,黒鹿,ブリックスアンドモルタル,クォリティシーズン,トワイニング,社台ファーム（共有代表）,シャダイファームキョウユウダイヒョウ,社台ファーム
"No.388
オージャイトの2022
牡　1/27生　鹿毛
父：シスキン
母：オージャイト
母父：キングカメハメハ
販売者：ノーザンファーム",388,オージャイトの2022,牡,1/27,鹿,シスキン,オージャイト,キングカメハメハ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.389
パープルの2022
牡　3/11生　鹿毛
父：エピファネイア
母：パープル
母父：Galileo
販売者：(有)飛野牧場",389,パープルの2022,牡,3/11,鹿,エピファネイア,パープル,Galileo,(有)飛野牧場,トビノボクジョウ,(有)飛野牧場
"No.390
セレスタの2022
めす　2/12生　黒鹿毛
父：ミッキーアイル
母：セレスタ
母父：Jump Start
販売者：(有)ノーザンレーシング",390,セレスタの2022,めす,2/12,黒鹿,ミッキーアイル,セレスタ,Jump Start,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.391
フィオドラの2022
牡　3/14生　鹿毛
父：キズナ
母：フィオドラ
母父：Lord of England
販売者：社台ファーム",391,フィオドラの2022,牡,3/14,鹿,キズナ,フィオドラ,Lord of England,社台ファーム,シャダイファーム,社台ファーム
"No.392
ダイアナヘイローの2022
牡　4/24生　鹿毛
父：ドレフォン
母：ダイアナヘイロー
母父：キングヘイロー
販売者：(株)駒秀",392,ダイアナヘイローの2022,牡,4/24,鹿,ドレフォン,ダイアナヘイロー,キングヘイロー,(株)駒秀,コマヒデ,(有)岡田牧場
"No.393
シャンパンエニワンの2022
牡　2/10生　鹿毛
父：ドゥラメンテ
母：シャンパンエニワン
母父：ストリートセンス
販売者：吉田 俊介",393,シャンパンエニワンの2022,牡,2/10,鹿,ドゥラメンテ,シャンパンエニワン,ストリートセンス,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
"No.394
ランドガールの2022
牡　3/19生　鹿毛
父：Saxon Warrior
母：ランドガール
母父：War Front
販売者：田中 裕之",394,ランドガールの2022,牡,3/19,鹿,Saxon Warrior,ランドガール,War Front,田中 裕之,タナカヒロユキ,田中　裕之
"No.395
シャンハイロックの2022
牡　2/17生　青鹿毛
父：シルバーステート
母：シャンハイロック
母父：ロックオブジブラルタル
販売者：(有)新生ファーム",395,シャンハイロックの2022,牡,2/17,青鹿,シルバーステート,シャンハイロック,ロックオブジブラルタル,(有)新生ファーム,シンセイファーム,(有)新生ファーム
"No.396
オールドタイムワルツの2022
めす　2/25生　黒鹿毛
父：エピファネイア
母：オールドタイムワルツ
母父：War Front
販売者：(有)ノーザンレーシング",396,オールドタイムワルツの2022,めす,2/25,黒鹿,エピファネイア,オールドタイムワルツ,War Front,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.397
ウィズアミッションの2022
牡　2/26生　栗毛
父：ダイワメジャー
母：ウィズアミッション
母父：Danehill Dancer
販売者：追分ファーム",397,ウィズアミッションの2022,牡,2/26,栗,ダイワメジャー,ウィズアミッション,Danehill Dancer,追分ファーム,オイワケファーム,追分ファーム
"No.398
レッドフィオナの2022
めす　3/6生　芦毛
父：ドゥラメンテ
母：レッドフィオナ
母父：ステイゴールド
販売者：社台ファーム",398,レッドフィオナの2022,めす,3/6,芦,ドゥラメンテ,レッドフィオナ,ステイゴールド,社台ファーム,シャダイファーム,社台ファーム
"No.399
チャーチクワイアの2022
牡　2/3生　鹿毛
父：レイデオロ
母：チャーチクワイア
母父：ネオユニヴァース
販売者：ノーザンファーム",399,チャーチクワイアの2022,牡,2/3,鹿,レイデオロ,チャーチクワイア,ネオユニヴァース,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.400
ブリッジクライムの2022
牡　2/19生　黒鹿毛
父：サートゥルナーリア
母：ブリッジクライム
母父：ゼンノロブロイ
販売者：社台ファーム",400,ブリッジクライムの2022,牡,2/19,黒鹿,サートゥルナーリア,ブリッジクライム,ゼンノロブロイ,社台ファーム,シャダイファーム,社台ファーム
"No.401
ワイルドラズベリーの2022
めす　1/29生　鹿毛
父：ロードカナロア
母：ワイルドラズベリー
母父：ファルブラヴ
販売者：ノーザンファーム",401,ワイルドラズベリーの2022,めす,1/29,鹿,ロードカナロア,ワイルドラズベリー,ファルブラヴ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.402
クァンタムミスの2022
牡　2/2生　芦毛
父：ナダル
母：クァンタムミス
母父：Smoke Glacken
販売者：(株)田端牧場",402,クァンタムミスの2022,牡,2/2,芦,ナダル,クァンタムミス,Smoke Glacken,(株)田端牧場,タバタボクジョウ,(株)田端牧場
"No.403
クルミネイトの2022
牡　2/6生　栗毛
父：モーリス
母：クルミネイト
母父：ディープインパクト
販売者：ノーザンファーム",403,クルミネイトの2022,牡,2/6,栗,モーリス,クルミネイト,ディープインパクト,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.404
ブルーハワイアンの2022
牡　2/17生　黒鹿毛
父：ニューイヤーズデイ
母：ブルーハワイアン
母父：ハーツクライ
販売者：社台ファーム",404,ブルーハワイアンの2022,牡,2/17,黒鹿,ニューイヤーズデイ,ブルーハワイアン,ハーツクライ,社台ファーム,シャダイファーム,社台ファーム
"No.405
ミリオンドリームズの2022
牡　1/23生　黒鹿毛
父：エピファネイア
母：ミリオンドリームズ
母父：Frankel
販売者：(有)千代田牧場",405,ミリオンドリームズの2022,牡,1/23,黒鹿,エピファネイア,ミリオンドリームズ,Frankel,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.406
タムニアの2022
めす　1/25生　鹿毛
父：アドマイヤマーズ
母：タムニア
母父：Nathaniel
販売者：ノーザンファーム",406,タムニアの2022,めす,1/25,鹿,アドマイヤマーズ,タムニア,Nathaniel,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.407
カーリンズビーエフエフの2022
牡　4/25生　黒鹿毛
父：サートゥルナーリア
母：カーリンズビーエフエフ
母父：Curlin
販売者：(有)村上欽哉牧場",407,カーリンズビーエフエフの2022,牡,4/25,黒鹿,サートゥルナーリア,カーリンズビーエフエフ,Curlin,(有)村上欽哉牧場,ムラカミキンヤボクジョウ,(有)村上欽哉牧場
"No.408
ペルペトゥオの2022
牡　3/4生　鹿毛
父：サトノダイヤモンド
母：ペルペトゥオ
母父：Pioneerof the Nile
販売者：(有)ノーザンレーシング",408,ペルペトゥオの2022,牡,3/4,鹿,サトノダイヤモンド,ペルペトゥオ,Pioneerof the Nile,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.409
ビスカリアの2022
牡　4/11生　栗毛
父：ブリックスアンドモルタル
母：ビスカリア
母父：ヴァーミリアン
販売者：岡田スタッド",409,ビスカリアの2022,牡,4/11,栗,ブリックスアンドモルタル,ビスカリア,ヴァーミリアン,岡田スタッド,オカダスタッド,岡田スタッド
"No.410
フローレスダンサーの2022
牡　3/23生　鹿毛
父：ロードカナロア
母：フローレスダンサー
母父：ハービンジャー
販売者：社台ファーム",410,フローレスダンサーの2022,牡,3/23,鹿,ロードカナロア,フローレスダンサー,ハービンジャー,社台ファーム,シャダイファーム,社台ファーム
"No.411
アルルの2022
めす　2/10生　鹿毛
父：キズナ
母：アルル
母父：Monsun
販売者：(有)ノーザンレーシング",411,アルルの2022,めす,2/10,鹿,キズナ,アルル,Monsun,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.412
ムーンオブザシティーの2022
牡　2/18生　黒鹿毛
父：American Pharoah
母：ムーンオブザシティー
母父：City Banker
販売者：(有)谷川牧場",412,ムーンオブザシティーの2022,牡,2/18,黒鹿,American Pharoah,ムーンオブザシティー,City Banker,(有)谷川牧場,タニカワボクジョウ,(有)谷川牧場
"No.413
ラグプリンセスの2022
牡　2/24生　栗毛
父：ダイワメジャー
母：ラグプリンセス
母父：Union Rags
販売者：社台ファーム",413,ラグプリンセスの2022,牡,2/24,栗,ダイワメジャー,ラグプリンセス,Union Rags,社台ファーム,シャダイファーム,社台ファーム
"No.414
アデレードヒルの2022
牡　2/15生　鹿毛
父：ナダル
母：アデレードヒル
母父：ゴールドヘイロー
販売者：(有)ノーザンレーシング",414,アデレードヒルの2022,牡,2/15,鹿,ナダル,アデレードヒル,ゴールドヘイロー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.415
ラビルキンの2022
めす　1/14生　鹿毛
父：サトノダイヤモンド
母：ラビルキン
母父：Indygo Shiner
販売者：(株)ハクレイファーム",415,ラビルキンの2022,めす,1/14,鹿,サトノダイヤモンド,ラビルキン,Indygo Shiner,(株)ハクレイファーム,ハクレイファーム,(株)ハクレイファーム
"No.416
デルマキセキの2022
牡　2/25生　栗毛
父：ドゥラメンテ
母：デルマキセキ
母父：Scat Daddy
販売者：社台ファーム",416,デルマキセキの2022,牡,2/25,栗,ドゥラメンテ,デルマキセキ,Scat Daddy,社台ファーム,シャダイファーム,社台ファーム
"No.417
ノーブルリーズンの2022
めす　3/1生　鹿毛
父：ニューイヤーズデイ
母：ノーブルリーズン
母父：ネオユニヴァース
販売者：(有)ノーザンレーシング",417,ノーブルリーズンの2022,めす,3/1,鹿,ニューイヤーズデイ,ノーブルリーズン,ネオユニヴァース,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.418
パッシフローラの2022
牡　3/17生　鹿毛
父：サートゥルナーリア
母：パッシフローラ
母父：ディープインパクト
販売者：(有)長浜牧場",418,パッシフローラの2022,牡,3/17,鹿,サートゥルナーリア,パッシフローラ,ディープインパクト,(有)長浜牧場,ナガハマボクジョウ,(有)長浜牧場
"No.419
シャンブルドットの2022
牡　3/12生　鹿毛
父：フィエールマン
母：シャンブルドット
母父：Lope de Vega
販売者：(有)ノーザンレーシング",419,シャンブルドットの2022,牡,3/12,鹿,フィエールマン,シャンブルドット,Lope de Vega,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.420
ヴィクトリアズワイルドキャットの2022
牡　4/8生　栗毛
父：ドゥラメンテ
母：ヴィクトリアズワイルドキャット
母父：Bellamy Road
販売者：(有)高昭牧場",420,ヴィクトリアズワイルドキャットの2022,牡,4/8,栗,ドゥラメンテ,ヴィクトリアズワイルドキャット,Bellamy Road,(有)高昭牧場,コウショウボクジョウ,(有)高昭牧場
"No.421
スカーレルの2022
めす　3/29生　栗毛
父：ジャスタウェイ
母：スカーレル
母父：ゴールドアリュール
販売者：社台ファーム",421,スカーレルの2022,めす,3/29,栗,ジャスタウェイ,スカーレル,ゴールドアリュール,社台ファーム,シャダイファーム,社台ファーム
"No.422
ザフィーナの2022
牡　2/24生　鹿毛
父：Saxon Warrior
母：ザフィーナ
母父：Casamento
販売者：(有)パカパカファーム",422,ザフィーナの2022,牡,2/24,鹿,Saxon Warrior,ザフィーナ,Casamento,(有)パカパカファーム,パカパカファーム,(有)パカパカファーム
"No.423
ベルエポックの2022
牡　2/23生　鹿毛
父：ドレフォン
母：ベルエポック
母父：モーリス
販売者：(有)ノーザンレーシング",423,ベルエポックの2022,牡,2/23,鹿,ドレフォン,ベルエポック,モーリス,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
