コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.125
チェリーコレクトの2021
めす　3/17生　鹿毛
父：キズナ
母：チェリーコレクト
母父：Oratorio
販売者：(有)ノーザンレーシング",125,チェリーコレクトの2021,めす,3/17,鹿,キズナ,チェリーコレクト,Oratorio,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.126
トップデサイルの2021
牡　4/6生　栗毛
父：エピファネイア
母：トップデサイル
母父：Congrats
販売者：社台ファーム",126,トップデサイルの2021,牡,4/6,栗,エピファネイア,トップデサイル,Congrats,社台ファーム,シャダイファーム,社台ファーム
"No.127
シュガーショックの2021
牡　4/8生　栗毛
父：ダイワメジャー
母：シュガーショック
母父：Candy Ride
販売者：ノーザンファーム",127,シュガーショックの2021,牡,4/8,栗,ダイワメジャー,シュガーショック,Candy Ride,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.128
ジプシーハイウェイの2021
牡　3/31生　鹿毛
父：モーリス
母：ジプシーハイウェイ
母父：High Chaparral
販売者：社台ファーム",128,ジプシーハイウェイの2021,牡,3/31,鹿,モーリス,ジプシーハイウェイ,High Chaparral,社台ファーム,シャダイファーム,社台ファーム
"No.129
ローズマンブリッジの2021
めす　3/30生　鹿毛
父：リオンディーズ
母：ローズマンブリッジ
母父：ディープインパクト
販売者：(有)ノーザンレーシング",129,ローズマンブリッジの2021,めす,3/30,鹿,リオンディーズ,ローズマンブリッジ,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.130
プントバンコの2021
牡　4/21生　栗毛
父：ドレフォン
母：プントバンコ
母父：フジキセキ
販売者：(株)レイクヴィラファーム",130,プントバンコの2021,牡,4/21,栗,ドレフォン,プントバンコ,フジキセキ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.131
オーサムフェザーの2021
牡　1/27生　鹿毛
父：サトノダイヤモンド
母：オーサムフェザー
母父：Awesome of Course
販売者：(有)ノーザンレーシング",131,オーサムフェザーの2021,牡,1/27,鹿,サトノダイヤモンド,オーサムフェザー,Awesome of Course,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.132
エスプリドパリの2021
めす　1/31生　芦毛
父：モーリス
母：エスプリドパリ
母父：ハーツクライ
販売者：追分ファーム",132,エスプリドパリの2021,めす,1/31,芦,モーリス,エスプリドパリ,ハーツクライ,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.133
ベルルミエールの2021
牡　4/21生　黒鹿毛
父：レイデオロ
母：ベルルミエール
母父：スウェプトオーヴァーボード
販売者：社台ファーム",133,ベルルミエールの2021,牡,4/21,黒鹿,レイデオロ,ベルルミエール,スウェプトオーヴァーボード,社台ファーム,シャダイファーム,社台ファーム
"No.134
パロネラの2021
めす　2/1生　鹿毛
父：エピファネイア
母：パロネラ
母父：ロードカナロア
販売者：(有)ノーザンレーシング",134,パロネラの2021,めす,2/1,鹿,エピファネイア,パロネラ,ロードカナロア,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.135
ホワイトローズⅡの2021
めす　3/3生　芦毛
父：キズナ
母：ホワイトローズⅡ
母父：Tapit
販売者：社台ファーム",135,ホワイトローズⅡの2021,めす,3/3,芦,キズナ,ホワイトローズⅡ,Tapit,社台ファーム,シャダイファーム,社台ファーム
"No.136
ソーメニーウェイズの2021
牡　3/2生　鹿毛
父：リアルスティール
母：ソーメニーウェイズ
母父：Sightseeing
販売者：ノーザンファーム",136,ソーメニーウェイズの2021,牡,3/2,鹿,リアルスティール,ソーメニーウェイズ,Sightseeing,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.137
ウエスタンクィーンの2021
牡　3/6生　鹿毛
父：アニマルキングダム
母：ウエスタンクィーン
母父：エルコンドルパサー
販売者：(株)ウエスタンファーム",137,ウエスタンクィーンの2021,牡,3/6,鹿,アニマルキングダム,ウエスタンクィーン,エルコンドルパサー,(株)ウエスタンファーム,ウエスタンファーム,(株)ウエスタンファーム
"No.138
パールサイドの2021
めす　4/17生　黒鹿毛
父：ハーツクライ
母：パールサイド
母父：Alhaarth
販売者：社台ファーム",138,パールサイドの2021,めす,4/17,黒鹿,ハーツクライ,パールサイド,Alhaarth,社台ファーム,シャダイファーム,社台ファーム
"No.139
マニーズオンシャーロットの2021
めす　2/24生　鹿毛
父：キタサンブラック
母：マニーズオンシャーロット
母父：Mizzen Mast
販売者：吉田 俊介",139,マニーズオンシャーロットの2021,めす,2/24,鹿,キタサンブラック,マニーズオンシャーロット,Mizzen Mast,吉田 俊介,ヨシダシュンスケ,ノーザンファームYearling
