コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.88
エイブルインレース２０２１
牡　2月9日生　栗毛
父：ニューイヤーズデイ
母：エイブルインレース
母父：フジキセキ
荒井ファーム",7/26（火）,88,エイブルインレース２０２１,牡,栗,2月9日,ニューイヤーズデイ,エイブルインレース,フジキセキ,荒井ファーム,㈲チェスナットファーム,88
"No.89
ヤマノローラ２０２１
牡　3月27日生　栗毛
父：ヘニーヒューズ
母：ヤマノローラ
母父：スペシャルウィーク
㈲佐藤牧場",7/26（火）,89,ヤマノローラ２０２１,牡,栗,3月27日,ヘニーヒューズ,ヤマノローラ,スペシャルウィーク,㈲佐藤牧場,㈲日高軽種馬共同育成公社,89
"No.90
レックスレイノス２０２１
♀　2月14日生　鹿毛
父：リアルスティール
母：レックスレイノス
母父：Intikhab
下屋敷牧場",7/26（火）,90,レックスレイノス２０２１,♀,鹿,2月14日,リアルスティール,レックスレイノス,Intikhab,下屋敷牧場,㈲浦河育成センター,90
"No.91
スコアズビー２０２１
♀　3月21日生　黒鹿毛
父：キズナ
母：スコアズビー
母父：ロックオブジブラルタル
㈲猿倉牧場",7/26（火）,91,スコアズビー２０２１,♀,黒鹿,3月21日,キズナ,スコアズビー,ロックオブジブラルタル,㈲猿倉牧場,㈱木村育成牧場,91
"No.92
エアヴェイユ２０２１
♀　5月1日生　黒鹿毛
父：リオンディーズ
母：エアヴェイユ
母父：ハードスパン
㈲稲原牧場",7/26（火）,92,エアヴェイユ２０２１,♀,黒鹿,5月1日,リオンディーズ,エアヴェイユ,ハードスパン,㈲稲原牧場,二風谷軽種馬共同育成センター,92
"No.93
レイロー２０２１
牡　1月7日生　鹿毛
父：ファインニードル
母：レイロー
母父：オルフェーヴル
㈲パカパカファーム",7/26（火）,93,レイロー２０２１,牡,鹿,1月7日,ファインニードル,レイロー,オルフェーヴル,㈲パカパカファーム,㈲パカパカファーム（厚賀分場）,93
"No.94
ノイエクローネ２０２１
牡　3月2日生　黒鹿毛
父：パイロ
母：ノイエクローネ
母父：ネオユニヴァース
船越　伸也",7/26（火）,94,ノイエクローネ２０２１,牡,黒鹿,3月2日,パイロ,ノイエクローネ,ネオユニヴァース,船越　伸也,エバグリーンセールスコンサインメント,94
"No.95
ヴァルホーリング２０２１
牡　3月26日生　栗毛
父：イスラボニータ
母：ヴァルホーリング
母父：Halling
㈱オリオンファーム",7/26（火）,95,ヴァルホーリング２０２１,牡,栗,3月26日,イスラボニータ,ヴァルホーリング,Halling,㈱オリオンファーム,㈱オリオンファーム,95
"No.96
スターリーウインド２０２１
牡　2月25日生　栗毛
父：ヘニーヒューズ
母：スターリーウインド
母父：ゼンノロブロイ
㈲矢野牧場",7/26（火）,96,スターリーウインド２０２１,牡,栗,2月25日,ヘニーヒューズ,スターリーウインド,ゼンノロブロイ,㈲矢野牧場,㈲矢野牧場,96
"No.97
リビングマイライフ２０２１
牡　4月21日生　鹿毛
父：カリフォルニアクローム
母：リビングマイライフ
母父：ダイワメジャー
㈲野坂牧場",7/26（火）,97,リビングマイライフ２０２１,牡,鹿,4月21日,カリフォルニアクローム,リビングマイライフ,ダイワメジャー,㈲野坂牧場,㈲目名共同トレーニングセンター,97
"No.98
マリスレーン２０２１
牡　5月22日生　鹿毛
父：ドレフォン
母：マリスレーン
母父：ストリートセンス
㈱川越ファーム",7/26（火）,98,マリスレーン２０２１,牡,鹿,5月22日,ドレフォン,マリスレーン,ストリートセンス,㈱川越ファーム,㈱吉永ファーム,98
"No.99
ココナッツパルム２０２１
♀　2月11日生　鹿毛
父：リアルスティール
母：ココナッツパルム
母父：フレンチデピュティ
㈲木下牧場",7/26（火）,99,ココナッツパルム２０２１,♀,鹿,2月11日,リアルスティール,ココナッツパルム,フレンチデピュティ,㈲木下牧場,セールスプレップサービス,99
"No.100
ベアフットレディ２０２１
♀　1月30日生　鹿毛
父：デクラレーションオブウォー
母：ベアフットレディ
母父：Footstepsinthesand
㈱タイヘイ牧場",7/26（火）,100,ベアフットレディ２０２１,♀,鹿,1月30日,デクラレーションオブウォー,ベアフットレディ,Footstepsinthesand,㈱タイヘイ牧場,㈱タイヘイ牧場,100
"No.101
エピックマジック２０２１
♀　2月6日生　鹿毛
父：エピファネイア
母：エピックマジック
母父：テレグノシス
㈱松浦牧場",7/26（火）,101,エピックマジック２０２１,♀,鹿,2月6日,エピファネイア,エピックマジック,テレグノシス,㈱松浦牧場,㈲チェスナットファーム,101
"No.102
ポムフィリア２０２１
牡　2月23日生　栗毛
父：レイデオロ
母：ポムフィリア
母父：フォーティナイナーズサン
㈲小島牧場",7/26（火）,102,ポムフィリア２０２１,牡,栗,2月23日,レイデオロ,ポムフィリア,フォーティナイナーズサン,㈲小島牧場,㈱ＭＡＸトレーニングファーム,102
"No.103
エイシンダーラ２０２１
牡　3月10日生　鹿毛
父：サトノクラウン
母：エイシンダーラ
母父：キングカメハメハ
増本　良孝",7/26（火）,103,エイシンダーラ２０２１,牡,鹿,3月10日,サトノクラウン,エイシンダーラ,キングカメハメハ,増本　良孝,㈲福山育成牧場,103
"No.104
ソラコマチ２０２１
牡　2月25日生　鹿毛
父：アルアイン
母：ソラコマチ
母父：サクラバクシンオー
㈲村上牧場",7/26（火）,104,ソラコマチ２０２１,牡,鹿,2月25日,アルアイン,ソラコマチ,サクラバクシンオー,㈲村上牧場,エレガンスファーム,104
"No.105
レディハピネス２０２１
♀　4月9日生　鹿毛
父：カリフォルニアクローム
母：レディハピネス
母父：Montjeu
前川　勝春",7/26（火）,105,レディハピネス２０２１,♀,鹿,4月9日,カリフォルニアクローム,レディハピネス,Montjeu,前川　勝春,Ｔｅａｍ　Ｕｎｉｔｙ,105
"No.106
トレサンセール２０２１
牡　3月20日生　鹿毛
父：オルフェーヴル
母：トレサンセール
母父：Rip Van Winkle
㈱門別山際牧場",7/26（火）,106,トレサンセール２０２１,牡,鹿,3月20日,オルフェーヴル,トレサンセール,Rip Van Winkle,㈱門別山際牧場,㈲グリーンマイルトレーニングセンター,106
"No.107
ホッコーユニバース２０２１
牡　4月21日生　鹿毛
父：サンダースノー
母：ホッコーユニバース
母父：アグネスタキオン
㈲高昭牧場",7/26（火）,107,ホッコーユニバース２０２１,牡,鹿,4月21日,サンダースノー,ホッコーユニバース,アグネスタキオン,㈲高昭牧場,㈲荻伏共同育成場,107
"No.108
クイーンギムレット２０２１
♀　3月11日生　鹿毛
父：ルーラーシップ
母：クイーンギムレット
母父：タニノギムレット
㈲千葉飯田牧場",7/26（火）,108,クイーンギムレット２０２１,♀,鹿,3月11日,ルーラーシップ,クイーンギムレット,タニノギムレット,㈲千葉飯田牧場,㈲パイオニアファーム,108
"No.109
ミスエンピリカル２０２１
牡　3月31日生　鹿毛
父：シルバーステート
母：ミスエンピリカル
母父：プリサイスエンド
高岸　順一",7/26（火）,109,ミスエンピリカル２０２１,牡,鹿,3月31日,シルバーステート,ミスエンピリカル,プリサイスエンド,高岸　順一,高岸　順一,109
"No.110
アドマイヤエバート２０２１
♀　2月12日生　黒鹿毛
父：エピファネイア
母：アドマイヤエバート
母父：ディープインパクト
㈲日高大洋牧場",7/26（火）,110,アドマイヤエバート２０２１,♀,黒鹿,2月12日,エピファネイア,アドマイヤエバート,ディープインパクト,㈲日高大洋牧場,㈲日高大洋牧場,110
"No.111
ゴールドチェイス２０２１
牡　4月29日生　栗毛
父：モーリス
母：ゴールドチェイス
母父：アドマイヤムーン
㈲グランド牧場",7/26（火）,111,ゴールドチェイス２０２１,牡,栗,4月29日,モーリス,ゴールドチェイス,アドマイヤムーン,㈲グランド牧場,㈲グランド牧場,111
