コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.229
ビジャリカ２０２１
牡　2月14日生　鹿毛
父：サンダースノー
母：ビジャリカ
母父：ディープインパクト
㈱ハシモトファーム",7/27（水）,229,ビジャリカ２０２１,牡,鹿,2月14日,サンダースノー,ビジャリカ,ディープインパクト,㈱ハシモトファーム,㈱ハシモトファーム,69
"No.230
ジプシー２０２１
♀　4月10日生　栗毛
父：ドゥラメンテ
母：ジプシー
母父：Distorted Humor
㈲富田牧場",7/27（水）,230,ジプシー２０２１,♀,栗,4月10日,ドゥラメンテ,ジプシー,Distorted Humor,㈲富田牧場,㈱木村育成牧場,70
"No.231
アンソニカ２０２１
牡　2月13日生　鹿毛
父：リアルスティール
母：アンソニカ
母父：Purge
㈲市川牧場",7/27（水）,231,アンソニカ２０２１,牡,鹿,2月13日,リアルスティール,アンソニカ,Purge,㈲市川牧場,㈱門別牧場,71
"No.232
ハミングデイズ２０２１
♀　2月22日生　黒鹿毛
父：リオンディーズ
母：ハミングデイズ
母父：ブラックタイド
㈲千代田牧場",7/27（水）,232,ハミングデイズ２０２１,♀,黒鹿,2月22日,リオンディーズ,ハミングデイズ,ブラックタイド,㈲千代田牧場,㈲千代田牧場,72
"No.233
インヴィンシブルタッチ２０２１
牡　3月24日生　鹿毛
父：サトノダイヤモンド
母：インヴィンシブルタッチ
母父：Invincible Spirit
田中　裕之",7/27（水）,233,インヴィンシブルタッチ２０２１,牡,鹿,3月24日,サトノダイヤモンド,インヴィンシブルタッチ,Invincible Spirit,田中　裕之,㈱小国スティーブル,73
"No.234
メイグレイス２０２１
牡　3月23日生　栗毛
父：レイデオロ
母：メイグレイス
母父：ネオユニヴァース
厚賀古川牧場",7/27（水）,234,メイグレイス２０２１,牡,栗,3月23日,レイデオロ,メイグレイス,ネオユニヴァース,厚賀古川牧場,㈲パイオニアファーム,74
"No.235
シーズアウーマン２０２１
牡　2月17日生　栗毛
父：モーリス
母：シーズアウーマン
母父：ネオユニヴァース
㈲グランド牧場",7/27（水）,235,シーズアウーマン２０２１,牡,栗,2月17日,モーリス,シーズアウーマン,ネオユニヴァース,㈲グランド牧場,㈲グランド牧場,75
"No.236
バードオンアスク２０２１
牡　3月28日生　栗毛
父：カリフォルニアクローム
母：バードオンアスク
母父：マンハッタンカフェ
㈲藤原牧場",7/27（水）,236,バードオンアスク２０２１,牡,栗,3月28日,カリフォルニアクローム,バードオンアスク,マンハッタンカフェ,㈲藤原牧場,㈲藤原牧場,76
"No.237
シンボリバーグ２０２１
牡　2月23日生　栗毛
父：ドレフォン
母：シンボリバーグ
母父：ダイワメジャー
シンボリ牧場",7/27（水）,237,シンボリバーグ２０２１,牡,栗,2月23日,ドレフォン,シンボリバーグ,ダイワメジャー,シンボリ牧場,㈱門別牧場,77
"No.238
エフティアテナ２０２１
牡　3月8日生　鹿毛
父：マジェスティックウォリアー
母：エフティアテナ
母父：ルーラーシップ
㈲日の出牧場",7/27（水）,238,エフティアテナ２０２１,牡,鹿,3月8日,マジェスティックウォリアー,エフティアテナ,ルーラーシップ,㈲日の出牧場,㈲荻伏共同育成場,78
"No.239
アルマレイモミ２０２１
♀　3月5日生　栗毛
父：ヘニーヒューズ
母：アルマレイモミ
母父：Uncle Mo
㈲須崎牧場",7/27（水）,239,アルマレイモミ２０２１,♀,栗,3月5日,ヘニーヒューズ,アルマレイモミ,Uncle Mo,㈲須崎牧場,㈲須崎牧場,79
"No.240
モントボーゲン２０２１
牡　2月12日生　黒鹿毛
父：レイデオロ
母：モントボーゲン
母父：ゼンノロブロイ
㈱奥山ファーム",7/27（水）,240,モントボーゲン２０２１,牡,黒鹿,2月12日,レイデオロ,モントボーゲン,ゼンノロブロイ,㈱奥山ファーム,カルペディエム　メイド（奥山牧場内）,80
"No.241
スルージエアー２０２１
牡　2月22日生　栗毛
父：マインドユアビスケッツ
母：スルージエアー
母父：ダンスインザダーク
㈲木下牧場",7/27（水）,241,スルージエアー２０２１,牡,栗,2月22日,マインドユアビスケッツ,スルージエアー,ダンスインザダーク,㈲木下牧場,㈲チェスナットファーム,81
"No.242
ヤエノグラフ２０２１
♀　4月13日生　黒鹿毛
父：キズナ
母：ヤエノグラフ
母父：ロードカナロア
㈲二風谷ファーム",7/27（水）,242,ヤエノグラフ２０２１,♀,黒鹿,4月13日,キズナ,ヤエノグラフ,ロードカナロア,㈲二風谷ファーム,二風谷軽種馬共同育成センター,82
"No.243
ペブルガーデン２０２１
牡　2月27日生　黒鹿毛
父：アメリカンペイトリオット
母：ペブルガーデン
母父：ディープインパクト
㈱タイヘイ牧場",7/27（水）,243,ペブルガーデン２０２１,牡,黒鹿,2月27日,アメリカンペイトリオット,ペブルガーデン,ディープインパクト,㈱タイヘイ牧場,㈱タイヘイ牧場,83
"No.244
ヒシラストレディ２０２１
♀　4月23日生　青鹿毛
父：スクリーンヒーロー
母：ヒシラストレディ
母父：Posse
㈲カミイスタット",7/27（水）,244,ヒシラストレディ２０２１,♀,青鹿,4月23日,スクリーンヒーロー,ヒシラストレディ,Posse,㈲カミイスタット,㈲日高軽種馬共同育成公社,84
"No.245
ディープラヴ２０２１
♀　2月16日生　鹿毛
父：タリスマニック
母：ディープラヴ
母父：ディープインパクト
㈲畠山牧場",7/27（水）,245,ディープラヴ２０２１,♀,鹿,2月16日,タリスマニック,ディープラヴ,ディープインパクト,㈲畠山牧場,㈲福山育成牧場,85
"No.246
マルモリバニー２０２１
牡　4月10日生　黒鹿毛
父：シルバーステート
母：マルモリバニー
母父：ダンスインザダーク
㈲大柳ファーム",7/27（水）,246,マルモリバニー２０２１,牡,黒鹿,4月10日,シルバーステート,マルモリバニー,ダンスインザダーク,㈲大柳ファーム,㈱ＭＡＸトレーニングファーム,86
"No.247
セレスシャイン２０２１
牡　2月9日生　栗毛
父：コパノリッキー
母：セレスシャイン
母父：アグネスデジタル
中山　高鹿康",7/27（水）,247,セレスシャイン２０２１,牡,栗,2月9日,コパノリッキー,セレスシャイン,アグネスデジタル,中山　高鹿康,㈱吉永ファーム,87
"No.248
エバープリンセス２０２１
牡　3月11日生　鹿毛
父：リオンディーズ
母：エバープリンセス
母父：ハービンジャー
㈱ホース・マネジメント・ボス",7/27（水）,248,エバープリンセス２０２１,牡,鹿,3月11日,リオンディーズ,エバープリンセス,ハービンジャー,㈱ホース・マネジメント・ボス,㈱ホース・マネジメント・ボス,88
"No.249
フィールグリュック２０２１
牡　4月27日生　鹿毛
父：ドゥラメンテ
母：フィールグリュック
母父：ストラヴィンスキー
中田　英樹",7/27（水）,249,フィールグリュック２０２１,牡,鹿,4月27日,ドゥラメンテ,フィールグリュック,ストラヴィンスキー,中田　英樹,エバグリーンセールスコンサインメント,89
"No.250
マンドゥラ２０２１
♀　3月7日生　黒鹿毛
父：キタサンブラック
母：マンドゥラ
母父：Danehill Dancer
㈲碧雲牧場",7/27（水）,250,マンドゥラ２０２１,♀,黒鹿,3月7日,キタサンブラック,マンドゥラ,Danehill Dancer,㈲碧雲牧場,㈲碧雲牧場,90
"No.251
グランクリューピサ２０２１
牡　3月13日生　鹿毛
父：シルバーステート
母：グランクリューピサ
母父：ヴィクトワールピサ
㈱門別牧場",7/27（水）,251,グランクリューピサ２０２１,牡,鹿,3月13日,シルバーステート,グランクリューピサ,ヴィクトワールピサ,㈱門別牧場,㈱門別牧場,91
"No.252
アラマサスナイパー２０２１
牡　4月12日生　鹿毛
父：デクラレーションオブウォー
母：アラマサスナイパー
母父：ステイゴールド
㈲アラキファーム",7/27（水）,252,アラマサスナイパー２０２１,牡,鹿,4月12日,デクラレーションオブウォー,アラマサスナイパー,ステイゴールド,㈲アラキファーム,㈲チェスナットファーム,92
"No.253
スマートルビー２０２１
牡　2月13日生　鹿毛
父：ルーラーシップ
母：スマートルビー
母父：ゼンノロブロイ
㈲杵臼牧場",7/27（水）,253,スマートルビー２０２１,牡,鹿,2月13日,ルーラーシップ,スマートルビー,ゼンノロブロイ,㈲杵臼牧場,アーカムパートナーファーム,93
"No.254
アントワープ２０２１
牡　3月15日生　鹿毛
父：キズナ
母：アントワープ
母父：キングカメハメハ
㈲上水牧場",7/27（水）,254,アントワープ２０２１,牡,鹿,3月15日,キズナ,アントワープ,キングカメハメハ,㈲上水牧場,㈲パイオニアファーム,94
"No.255
ナリタブルースター２０２１
牡　5月15日生　青鹿毛
父：モーリス
母：ナリタブルースター
母父：マンハッタンカフェ
㈱タガミファーム",7/27（水）,255,ナリタブルースター２０２１,牡,青鹿,5月15日,モーリス,ナリタブルースター,マンハッタンカフェ,㈱タガミファーム,ハントバレートレーニングファーム,95
"No.256
ベルシルエット２０２１
牡　3月14日生　栗毛
父：カリフォルニアクローム
母：ベルシルエット
母父：ディープインパクト
今牧場",7/27（水）,256,ベルシルエット２０２１,牡,栗,3月14日,カリフォルニアクローム,ベルシルエット,ディープインパクト,今牧場,カルペディエム　メイド（奥山牧場内）,96
"No.257
モアナブリーズ２０２１
牡　3月27日生　鹿毛
父：アルアイン
母：モアナブリーズ
母父：キングカメハメハ
㈲矢野牧場",7/27（水）,257,モアナブリーズ２０２１,牡,鹿,3月27日,アルアイン,モアナブリーズ,キングカメハメハ,㈲矢野牧場,㈲矢野牧場,97
"No.258
ラバーズケープ２０２１
♀　2月10日生　鹿毛
父：ドレフォン
母：ラバーズケープ
母父：ダイワメジャー
木村牧場㈲",7/27（水）,258,ラバーズケープ２０２１,♀,鹿,2月10日,ドレフォン,ラバーズケープ,ダイワメジャー,木村牧場㈲,木村牧場㈲,98
"No.259
ウエバフラッシュ２０２１
牡　5月12日生　栗毛
父：マジェスティックウォリアー
母：ウエバフラッシュ
母父：ダイワメジャー
㈲様似共栄牧場",7/27（水）,259,ウエバフラッシュ２０２１,牡,栗,5月12日,マジェスティックウォリアー,ウエバフラッシュ,ダイワメジャー,㈲様似共栄牧場,㈲辻牧場,99
"No.260
ラタンペットロゼ２０２１
牡　2月26日生　黒鹿毛
父：デクラレーションオブウォー
母：ラタンペットロゼ
母父：ストーミングホーム
㈲岡田牧場",7/27（水）,260,ラタンペットロゼ２０２１,牡,黒鹿,2月26日,デクラレーションオブウォー,ラタンペットロゼ,ストーミングホーム,㈲岡田牧場,㈲目名共同トレーニングセンター,100
"No.261
ヤヤラーラ２０２１
牡　3月7日生　鹿毛
父：ヘニーヒューズ
母：ヤヤラーラ
母父：ゼンノロブロイ
㈱田端牧場",7/27（水）,261,ヤヤラーラ２０２１,牡,鹿,3月7日,ヘニーヒューズ,ヤヤラーラ,ゼンノロブロイ,㈱田端牧場,㈱田端牧場,101
"No.262
ローザレーヌ２０２１
牡　3月30日生　黒鹿毛
父：ホッコータルマエ
母：ローザレーヌ
母父：マンハッタンカフェ
西村牧場",7/27（水）,262,ローザレーヌ２０２１,牡,黒鹿,3月30日,ホッコータルマエ,ローザレーヌ,マンハッタンカフェ,西村牧場,ゴールドアップホースカンパニー（泊津分場）,102
"No.263
トーセンバスケット２０２１
牡　5月8日生　鹿毛
父：リアルスティール
母：トーセンバスケット
母父：ブライアンズタイム
沖田　博志",7/27（水）,263,トーセンバスケット２０２１,牡,鹿,5月8日,リアルスティール,トーセンバスケット,ブライアンズタイム,沖田　博志,本桐共同育成センター,103
"No.264
キャリーウェーブ２０２１
♀　5月13日生　鹿毛
父：ドレフォン
母：キャリーウェーブ
母父：アグネスタキオン
㈲片山牧場",7/27（水）,264,キャリーウェーブ２０２１,♀,鹿,5月13日,ドレフォン,キャリーウェーブ,アグネスタキオン,㈲片山牧場,㈲チェスナットファーム,104
"No.265
ミッドタウンレディ２０２１
♀　2月16日生　鹿毛
父：ハービンジャー
母：ミッドタウンレディ
母父：ゼンノロブロイ
追分ファーム",7/27（水）,265,ミッドタウンレディ２０２１,♀,鹿,2月16日,ハービンジャー,ミッドタウンレディ,ゼンノロブロイ,追分ファーム,白老ファームＹｅａｒｌｉｎｇ,105
"No.266
シャイニンオーラ２０２１
牡　5月8日生　栗毛
父：エピファネイア
母：シャイニンオーラ
母父：キングカメハメハ
下屋敷牧場",7/27（水）,266,シャイニンオーラ２０２１,牡,栗,5月8日,エピファネイア,シャイニンオーラ,キングカメハメハ,下屋敷牧場,Ｔｅａｍ　Ｕｎｉｔｙ,106
"No.267
ターコイズ２０２１
♀　2月19日生　黒鹿毛
父：パイロ
母：ターコイズ
母父：ハードスパン
トド岩高原銀河農場物語㈱",7/27（水）,267,ターコイズ２０２１,♀,黒鹿,2月19日,パイロ,ターコイズ,ハードスパン,トド岩高原銀河農場物語㈱,㈲日高軽種馬共同育成公社,107
"No.268
マイユクール２０２１
牡　4月23日生　鹿毛
父：キズナ
母：マイユクール
母父：バゴ
㈲日進牧場",7/27（水）,268,マイユクール２０２１,牡,鹿,4月23日,キズナ,マイユクール,バゴ,㈲日進牧場,㈲日進牧場,108
"No.269
アズレージョ２０２１
牡　2月3日生　鹿毛
父：ルーラーシップ
母：アズレージョ
母父：タートルボウル
㈲グッドラック・ファーム",7/27（水）,269,アズレージョ２０２１,牡,鹿,2月3日,ルーラーシップ,アズレージョ,タートルボウル,㈲グッドラック・ファーム,㈱門別牧場,109
"No.270
プレノタート２０２１
♀　3月10日生　鹿毛
父：キンシャサノキセキ
母：プレノタート
母父：ジャングルポケット
㈲松田牧場",7/27（水）,270,プレノタート２０２１,♀,鹿,3月10日,キンシャサノキセキ,プレノタート,ジャングルポケット,㈲松田牧場,㈱愛知ステーブル,110
"No.271
ホウホウ２０２１
牡　2月21日生　鹿毛
父：ドレフォン
母：ホウホウ
母父：Dylan Thomas
㈲谷川牧場",7/27（水）,271,ホウホウ２０２１,牡,鹿,2月21日,ドレフォン,ホウホウ,Dylan Thomas,㈲谷川牧場,㈲谷川牧場,111
"No.272
フロイラインシチー２０２１
牡　2月26日生　鹿毛
父：シニスターミニスター
母：フロイラインシチー
母父：フレンチデピュティ
㈲飛野牧場",7/27（水）,272,フロイラインシチー２０２１,牡,鹿,2月26日,シニスターミニスター,フロイラインシチー,フレンチデピュティ,㈲飛野牧場,カルペディエム　メイド（奥山牧場内）,112
"No.273
ディリジェンテ２０２１
♀　3月17日生　栗毛
父：ヘニーヒューズ
母：ディリジェンテ
母父：ステイゴールド
㈲ムラカミファーム",7/27（水）,273,ディリジェンテ２０２１,♀,栗,3月17日,ヘニーヒューズ,ディリジェンテ,ステイゴールド,㈲ムラカミファーム,山岸ステーブル,113
"No.274
ブロッサムレーン２０２１
牡　4月7日生　栗毛
父：ニューイヤーズデイ
母：ブロッサムレーン
母父：New Approach
㈱クラウン",7/27（水）,274,ブロッサムレーン２０２１,牡,栗,4月7日,ニューイヤーズデイ,ブロッサムレーン,New Approach,㈱クラウン,㈱クラウン,114
"No.275
アブソルートリー２０２１
♀　4月8日生　鹿毛
父：スワーヴリチャード
母：アブソルートリー
母父：Redoute's Choice
㈱ＭＫアセット",7/27（水）,275,アブソルートリー２０２１,♀,鹿,4月8日,スワーヴリチャード,アブソルートリー,Redoute's Choice,㈱ＭＫアセット,エバグリーンセールスコンサインメント,115
"No.276
パクスアジアーナ２０２１
牡　2月26日生　黒鹿毛
父：キタサンブラック
母：パクスアジアーナ
母父：ノヴェリスト
㈲天羽牧場",7/27（水）,276,パクスアジアーナ２０２１,牡,黒鹿,2月26日,キタサンブラック,パクスアジアーナ,ノヴェリスト,㈲天羽牧場,㈲荻伏共同育成場,116
"No.277
イオス２０２１
♀　3月10日生　鹿毛
父：ルーラーシップ
母：イオス
母父：バゴ
㈲新冠橋本牧場",7/27（水）,277,イオス２０２１,♀,鹿,3月10日,ルーラーシップ,イオス,バゴ,㈲新冠橋本牧場,㈲新冠橋本牧場,117
"No.278
カーヴィシャス２０２１
♀　3月6日生　鹿毛
父：リオンディーズ
母：カーヴィシャス
母父：シンボリクリスエス
㈲上水牧場",7/27（水）,278,カーヴィシャス２０２１,♀,鹿,3月6日,リオンディーズ,カーヴィシャス,シンボリクリスエス,㈲上水牧場,㈲パイオニアファーム,118
"No.279
ネオフェリーク２０２１
牡　5月14日生　芦毛
父：シルバーステート
母：ネオフェリーク
母父：キングカメハメハ
㈲ヤマイチ牧場",7/27（水）,279,ネオフェリーク２０２１,牡,芦,5月14日,シルバーステート,ネオフェリーク,キングカメハメハ,㈲ヤマイチ牧場,クラックステーブル,119
"No.280
ジュモートリステ２０２１
♀　3月26日生　栗毛
父：ヘニーヒューズ
母：ジュモートリステ
母父：ハービンジャー
㈲矢野牧場",7/27（水）,280,ジュモートリステ２０２１,♀,栗,3月26日,ヘニーヒューズ,ジュモートリステ,ハービンジャー,㈲矢野牧場,㈲矢野牧場,120
"No.281
ベストフューチャー２０２１
牡　4月27日生　鹿毛
父：カリフォルニアクローム
母：ベストフューチャー
母父：ロージズインメイ
㈲佐藤牧場",7/27（水）,281,ベストフューチャー２０２１,牡,鹿,4月27日,カリフォルニアクローム,ベストフューチャー,ロージズインメイ,㈲佐藤牧場,㈲日高軽種馬共同育成公社,121
"No.282
ムーンエクスプレス２０２１
牡　4月20日生　鹿毛
父：サンダースノー
母：ムーンエクスプレス
母父：アドマイヤムーン
坂牧場",7/27（水）,282,ムーンエクスプレス２０２１,牡,鹿,4月20日,サンダースノー,ムーンエクスプレス,アドマイヤムーン,坂牧場,三橋ステーブル,122
"No.283
ウィンクルム２０２１
牡　3月5日生　芦毛
父：ドレフォン
母：ウィンクルム
母父：キズナ
㈲服部牧場",7/27（水）,283,ウィンクルム２０２１,牡,芦,3月5日,ドレフォン,ウィンクルム,キズナ,㈲服部牧場,㈲服部牧場,123
"No.284
ギャラクシーハニー２０２１
♀　2月6日生　鹿毛
父：リアルスティール
母：ギャラクシーハニー
母父：スクリーンヒーロー
オカモトファーム",7/27（水）,284,ギャラクシーハニー２０２１,♀,鹿,2月6日,リアルスティール,ギャラクシーハニー,スクリーンヒーロー,オカモトファーム,オカモトファーム,124
"No.285
カニョット２０２１
牡　4月2日生　栗毛
父：シュヴァルグラン
母：カニョット
母父：Sunray Spirit
（同）カケハムポニークラブ",7/27（水）,285,カニョット２０２１,牡,栗,4月2日,シュヴァルグラン,カニョット,Sunray Spirit,（同）カケハムポニークラブ,㈲チェスナットファーム,125
"No.286
クナウ２０２１
♀　1月29日生　鹿毛
父：デクラレーションオブウォー
母：クナウ
母父：シンボリクリスエス
㈲北島牧場",7/27（水）,286,クナウ２０２１,♀,鹿,1月29日,デクラレーションオブウォー,クナウ,シンボリクリスエス,㈲北島牧場,㈲北島牧場,126
"No.287
スカイノーヴァ２０２１
牡　5月1日生　栗毛
父：アニマルキングダム
母：スカイノーヴァ
母父：ステイゴールド
㈱ウエスタンファーム",7/27（水）,287,スカイノーヴァ２０２１,牡,栗,5月1日,アニマルキングダム,スカイノーヴァ,ステイゴールド,㈱ウエスタンファーム,㈱ウエスタンファーム,127
"No.288
ゴッドビラブドミー２０２１
牡　5月22日生　栗毛
父：アジアエクスプレス
母：ゴッドビラブドミー
母父：ブライアンズタイム
㈱加藤ステーブル",7/27（水）,288,ゴッドビラブドミー２０２１,牡,栗,5月22日,アジアエクスプレス,ゴッドビラブドミー,ブライアンズタイム,㈱加藤ステーブル,㈱ケイズ,128
"No.289
アモーレエテルノ２０２１
牡　3月10日生　鹿毛
父：パイロ
母：アモーレエテルノ
母父：ゼンノロブロイ
㈱ハシモトファーム",7/27（水）,289,アモーレエテルノ２０２１,牡,鹿,3月10日,パイロ,アモーレエテルノ,ゼンノロブロイ,㈱ハシモトファーム,㈱ハシモトファーム,129
"No.290
クリムゾンブーケ２０２１
♀　3月10日生　黒鹿毛
父：リオンディーズ
母：クリムゾンブーケ
母父：クロフネ
田中　裕之",7/27（水）,290,クリムゾンブーケ２０２１,♀,黒鹿,3月10日,リオンディーズ,クリムゾンブーケ,クロフネ,田中　裕之,エバグリーンセールスコンサインメント,130
"No.291
パープル２０２１
牡　3月13日生　栗毛
父：カリフォルニアクローム
母：パープル
母父：Galileo
㈲カナイシスタッド",7/27（水）,291,パープル２０２１,牡,栗,3月13日,カリフォルニアクローム,パープル,Galileo,㈲カナイシスタッド,㈲カナイシスタッド,131
"No.292
メモリーレーン２０２１
♀　2月1日生　鹿毛
父：ニューイヤーズデイ
母：メモリーレーン
母父：ダイワメジャー
㈱ＶＩＣＴＯＲＹ",7/27（水）,292,メモリーレーン２０２１,♀,鹿,2月1日,ニューイヤーズデイ,メモリーレーン,ダイワメジャー,㈱ＶＩＣＴＯＲＹ,㈲天羽禮治牧場,132
"No.293
キンゲショウ２０２１
牡　2月2日生　栗毛
父：エスポワールシチー
母：キンゲショウ
母父：ハードスパン
㈲グランド牧場",7/27（水）,293,キンゲショウ２０２１,牡,栗,2月2日,エスポワールシチー,キンゲショウ,ハードスパン,㈲グランド牧場,㈲グランド牧場,133
"No.294
ザデイ２０２１
♀　3月24日生　黒鹿毛
父：オルフェーヴル
母：ザデイ
母父：シンボリクリスエス
㈱ハクレイファーム",7/27（水）,294,ザデイ２０２１,♀,黒鹿,3月24日,オルフェーヴル,ザデイ,シンボリクリスエス,㈱ハクレイファーム,㈱ハクレイファーム,134
"No.295
ハートビートワルツ２０２１
♀　2月9日生　鹿毛
父：リアルスティール
母：ハートビートワルツ
母父：ブライアンズタイム
藤本ファーム",7/27（水）,295,ハートビートワルツ２０２１,♀,鹿,2月9日,リアルスティール,ハートビートワルツ,ブライアンズタイム,藤本ファーム,㈲パイオニアファーム,135
"No.296
フロリール２０２１
牡　2月22日生　栗毛
父：アジアエクスプレス
母：フロリール
母父：クロフネ
㈲千代田牧場",7/27（水）,296,フロリール２０２１,牡,栗,2月22日,アジアエクスプレス,フロリール,クロフネ,㈲千代田牧場,㈲千代田牧場,136
"No.297
イリデ２０２１
牡　2月24日生　鹿毛
父：スワーヴリチャード
母：イリデ
母父：Indian Charlie
藤田　孟司",7/27（水）,297,イリデ２０２１,牡,鹿,2月24日,スワーヴリチャード,イリデ,Indian Charlie,藤田　孟司,㈲日高軽種馬共同育成公社,137
"No.298
スヴァラッシー２０２１
牡　3月20日生　鹿毛
父：ファインニードル
母：スヴァラッシー
母父：ディープインパクト
折手牧場",7/27（水）,298,スヴァラッシー２０２１,牡,鹿,3月20日,ファインニードル,スヴァラッシー,ディープインパクト,折手牧場,Ｔｅａｍ　Ｕｎｉｔｙ,138
"No.299
クロワラモー２０２１
牡　3月17日生　鹿毛
父：ヘニーヒューズ
母：クロワラモー
母父：スペシャルウィーク
㈲村田牧場",7/27（水）,299,クロワラモー２０２１,牡,鹿,3月17日,ヘニーヒューズ,クロワラモー,スペシャルウィーク,㈲村田牧場,㈲村田牧場,139
"No.300
ストリートキャッシュ２０２１
牡　4月7日生　鹿毛
父：Ghostzapper
母：ストリートキャッシュ
母父：Street Boss
㈲浜本牧場",7/27（水）,300,ストリートキャッシュ２０２１,牡,鹿,4月7日,Ghostzapper,ストリートキャッシュ,Street Boss,㈲浜本牧場,カルペディエム　メイド（奥山牧場内）,140
"No.301
チュウオーサーヤ２０２１
牡　3月20日生　鹿毛
父：サトノダイヤモンド
母：チュウオーサーヤ
母父：ディアブロ
㈲中央牧場",7/27（水）,301,チュウオーサーヤ２０２１,牡,鹿,3月20日,サトノダイヤモンド,チュウオーサーヤ,ディアブロ,㈲中央牧場,クラックステーブル,141
"No.302
ママアルパ２０２１
♀　5月11日生　黒鹿毛
父：リオンディーズ
母：ママアルパ
母父：タニノギムレット
㈱タガミファーム",7/27（水）,302,ママアルパ２０２１,♀,黒鹿,5月11日,リオンディーズ,ママアルパ,タニノギムレット,㈱タガミファーム,ハントバレートレーニングファーム,142
"No.303
フォルクスオーパー２０２１
♀　4月17日生　黒鹿毛
父：キンシャサノキセキ
母：フォルクスオーパー
母父：テイエムオペラオー
㈲宮内牧場",7/27（水）,303,フォルクスオーパー２０２１,♀,黒鹿,4月17日,キンシャサノキセキ,フォルクスオーパー,テイエムオペラオー,㈲宮内牧場,㈲ディスティニーファーム,143
"No.304
アイアンヒロイン２０２１
牡　3月23日生　黒鹿毛
父：キズナ
母：アイアンヒロイン
母父：Congrats
高松牧場",7/27（水）,304,アイアンヒロイン２０２１,牡,黒鹿,3月23日,キズナ,アイアンヒロイン,Congrats,高松牧場,㈱ＭＡＸトレーニングファーム,144
"No.305
マチュアード２０２１
♀　4月18日生　鹿毛
父：キタサンブラック
母：マチュアード
母父：Manduro
㈲矢野牧場",7/27（水）,305,マチュアード２０２１,♀,鹿,4月18日,キタサンブラック,マチュアード,Manduro,㈲矢野牧場,㈲矢野牧場,145
"No.306
スイートハート２０２１
♀　3月11日生　鹿毛
父：サンダースノー
母：スイートハート
母父：ワークフォース
鎌田　正嗣",7/27（水）,306,スイートハート２０２１,♀,鹿,3月11日,サンダースノー,スイートハート,ワークフォース,鎌田　正嗣,㈲チェスナットファーム,146
"No.307
ハマナス２０２１
牡　3月27日生　黒鹿毛
父：マジェスティックウォリアー
母：ハマナス
母父：キングカメハメハ
㈲オリエント牧場",7/27（水）,307,ハマナス２０２１,牡,黒鹿,3月27日,マジェスティックウォリアー,ハマナス,キングカメハメハ,㈲オリエント牧場,オリエントファーム,147
"No.308
リマンドインパクト２０２１
牡　4月13日生　黒鹿毛
父：カリフォルニアクローム
母：リマンドインパクト
母父：ディープインパクト
㈲高昭牧場",7/27（水）,308,リマンドインパクト２０２１,牡,黒鹿,4月13日,カリフォルニアクローム,リマンドインパクト,ディープインパクト,㈲高昭牧場,㈲荻伏共同育成場,148
"No.309
マーゼリン２０２１
牡　3月21日生　鹿毛
父：エピファネイア
母：マーゼリン
母父：Barathea
平井　克彦",7/27（水）,309,マーゼリン２０２１,牡,鹿,3月21日,エピファネイア,マーゼリン,Barathea,平井　克彦,㈱門別牧場,149
"No.310
イナズマアマリリス２０２１
牡　3月6日生　鹿毛
父：ヘニーヒューズ
母：イナズマアマリリス
母父：スエヒロコマンダー
㈲小泉牧場",7/27（水）,310,イナズマアマリリス２０２１,牡,鹿,3月6日,ヘニーヒューズ,イナズマアマリリス,スエヒロコマンダー,㈲小泉牧場,㈱山﨑ＳＴＡＢＬＥ,150
"No.311
ピンクシャンパン２０２１
♀　2月11日生　鹿毛
父：デクラレーションオブウォー
母：ピンクシャンパン
母父：ディープインパクト
㈲富田牧場",7/27（水）,311,ピンクシャンパン２０２１,♀,鹿,2月11日,デクラレーションオブウォー,ピンクシャンパン,ディープインパクト,㈲富田牧場,㈱木村育成牧場,151
